Order,Provinces,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase
(million USD)",Year
1,TP. Ho Chi Minh,836,1006.69,222,619.07,1935,1802.56,2016
2,Hai Phong,52,2464.32,38,429.24,27,96.34,2016
3,Ha Noi,453,1922.76,159,504.47,228,367.21,2016
4,Binh Duong,256,1630.52,130,641.97,25,94.72,2016
5,Dong Nai,91,1043.74,136,921.05,55,273.44,2016
6,Bac Giang,53,937.51,20,71.06,10,1.46,2016
7,Bac Ninh,185,578.64,130,271.49,24,49.87,2016
8,Long An,122,296.85,95,448.85,32,77.21,2016
9,Ha Nam,31,604.33,29,100.7,,,2016
10,Tay Ninh,24,273.87,25,427.57,,,2016
11,Phu Yen,2,159.22,1,95.5,4,307.06,2016
12,Quang Ninh,10,517.74,,,8,37.89,2016
13,Ba Ria - Vung Tau,18,259.62,13,201.93,15,70.18,2016
14,Hai Duong,29,129.59,27,242.15,11,44.01,2016
15,Tien Giang,14,388.48,10,25,3,1.05,2016
16,Hung Yen,42,313.8,33,60.18,15,18.41,2016
17,Ha Tinh,9,244.84,2,133.47,3,12.95,2016
18,Vinh Phuc,30,274.12,18,103.31,18,11.85,2016
19,Nam Dinh,14,259.15,12,23.22,4,21.98,2016
20,Tra Vinh,7,256.5,,,,,2016
21,Can Tho,8,225.99,1,1.12,3,14,2016
22,Thanh Hoa,15,163.76,11,69.6,1,0.04,2016
23,Phu Tho,13,95.87,17,102.31,1,0.69,2016
24,Thai Nguyen,23,132.2,15,24.69,8,7.46,2016
25,Vinh Long,7,136.66,3,6.3,,,2016
26,Quang Nam,18,122.89,4,14.96,1,0.02,2016
27,Binh Phuoc,20,50.62,18,54.59,,,2016
28,Da Nang,74,78.02,11,-10.04,33,29.29,2016
29,Ninh Binh,5,89.24,2,0.94,,,2016
30,Ninh Thuan,3,71.52,3,14.1,3,2.68,2016
31,Binh Dinh,10,81.99,1,2.61,2,0.68,2016
32,Nghe An,9,72.49,,,,,2016
33,Hau Giang,,,2,70,,,2016
34,Khanh Hoa,8,6.32,4,39.2,49,22.53,2016
35,Thai Binh,9,32.93,4,13.74,4,7.36,2016
36,Tuyen Quang,,,2,38.98,3,5.68,2016
37,Quang Binh,3,21.43,,,1,21.06,2016
38,Lam Dong,,,6,39.49,10,1.95,2016
39,Ben Tre,6,29.28,2,0.71,2,2.36,2016
40,Ca Mau,1,31.5,,,,,2016
41,Thua Thien Hue,9,28.39,1,0.7,1,1.15,2016
42,Lao Cai,2,0.38,2,25.94,,,2016
43,Quang Ngai,9,96.3,4,-74.32,,,2016
44,Dong Thap,3,17.9,,,2,0.5,2016
45,Ha Giang,,,,,2,11.09,2016
46,An Giang,1,0.02,2,3.1,1,7.52,2016
47,Hoa Binh,1,3,5,5.77,,,2016
48,Lang Son,2,7.79,,,,,2016
49,Binh Thuan,10,2.83,2,3.62,,,2016
50,Kon Tum,3,5.96,,,,,2016
51,Soc Trang,1,5,,,,,2016
52,Kien Giang,2,4.77,,,,,2016
53,Quang Tri,1,4,,,,,2016
54,Yen Bai,1,0.66,1,1,3,1.05,2016
55,Dak Lak,1,0.23,,,,,2016
56,Dak Nong,,,1,-1.3,,,2016
57,Gia Lai,,,1,-2.94,,,2016
58,Bac Kan,,,,,,,2016
59,Bac Lieu,,,,,,,2016
60,Dien Bien,,,,,,,2016
61,Cao Bang,,,,,,,2016
62,Lai Chau,,,,,,,2016
63,Son La,,,,,,,2016
64,TP. Ho Chi Minh,864,"2,313.95",247,"1,000.11","2,788","3,191.90",2017
65,Bac Ninh,184,371.71,136,"2,888.34",125,144.49,2017
66,Thanh Hoa,15,"3,159.40",5,5.8,7,6.51,2017
67,Binh Duong,189,"1,356.46",132,"1,117.00",392,324.71,2017
68,Khanh Hoa,4,"2,584.86",2,13.5,55,28.04,2017
69,Ha Noi,542,"1,111.25",167,662.73,637,724.97,2017
70,Nam Dinh,16,"2,134.30",10,92.08,10,77.6,2017
71,Dong Nai,83,"1,002.38",81,307.76,181,453.86,2017
72,Kien Giang,7,"1,342.30",2,-28.99,2,0.03,2017
73,Tay Ninh,24,722.9,30,268.09,28,18.26,2017
74,Hai Phong,57,220.72,41,622.75,35,41.41,2017
75,Bac Giang,69,764.9,18,18.27,36,72.36,2017
76,Ba Ria - Vung Tau,25,204.27,15,242.97,34,80.24,2017
77,Hung Yen,37,360.64,44,144.16,36,16.81,2017
78,Binh Phuoc,24,369.91,21,111.07,22,30.8,2017
79,Long An,97,207.81,81,136.4,164,166.72,2017
80,Quang Ngai,7,313.84,2,60.75,,,2017
81,Hai Duong,48,247.94,27,83.33,37,34.88,2017
82,Ninh Thuan,3,265.77,,,4,0.35,2017
83,Ha Nam,18,119.11,19,104.64,16,20.84,2017
84,Yen Bai,4,237.02,,,2,1.13,2017
85,Ben Tre,4,168.41,5,43.95,13,23.8,2017
86,Ninh Binh,8,126.17,4,56.1,7,51.8,2017
87,Phu Tho,15,153.49,16,73.72,4,2.95,2017
88,Quang Binh,2,56.07,,,8,155.85,2017
89,Vinh Phuc,44,108.81,7,54.1,52,40.52,2017
90,Binh Dinh,9,117.22,4,31.7,7,1.25,2017
91,Tien Giang,6,68.62,7,67.3,10,14.13,2017
92,Tra Vinh,4,144.92,1,-5.09,7,3.46,2017
93,Da Nang,66,115.86,6,0.94,111,25.77,2017
94,Quang Nam,18,112.65,4,9.5,18,12.85,2017
95,Vinh Long,3,55.31,5,72.41,,,2017
96,Nghe An,4,123.32,,,2,0.16,2017
97,Thai Nguyen,12,13.81,17,85.1,18,7.01,2017
98,Thai Binh,11,96.26,7,-4.11,10,7.35,2017
99,Ha Tinh,7,16.41,2,40.55,13,41.94,2017
100,Dong Thap,4,51.01,2,1.65,4,23.81,2017
101,Lam Dong,7,59.53,4,3.83,40,9.24,2017
102,Dak Lak,2,49.5,1,9,2,1.75,2017
103,Quang Ninh,7,52.32,3,3.73,13,3.69,2017
104,Hoa Binh,4,28.62,1,10,2,0.11,2017
105,Binh Thuan,6,12.55,3,10.9,9,6.93,2017
106,Can Tho,4,8.4,1,5.62,12,12.85,2017
107,Dak Nong,1,23.48,,,1,0.14,2017
108,Ca Mau,2,32.41,1,-11.43,1,,2017
109,Soc Trang,1,20,,,,,2017
110,Lao Cai,2,8.15,2,3.63,3,6.57,2017
111,Son La,2,13.83,1,0.3,1,1.01,2017
112,Cao Bang,1,10,1,-2.1,1,0.27,2017
113,An Giang,1,0.2,,,4,7.73,2017
114,Thua Thien Hue,5,1.62,,,8,4.89,2017
115,Dien Bien,1,3,,,1,2.8,2017
116,Ha Giang,3,4.52,,,2,0.45,2017
117,Quang Tri,, -   ,1,4,,,2017
118,Lang Son,1,2.2,,,3,1.21,2017
119,Tuyen Quang,1,2.8,,,,,2017
120,Phu Yen,3,1.63,1,0.37,2,0.64,2017
121,Kon Tum,1,0.45,1,0.4,1,0.25,2017
122,Hau Giang,2,0.92,,,1,0.03,2017
123,Bac Lieu,,,,,,,2017
124,Bac Kan,,,,,,,2017
125,Gia Lai,,,,,,,2017
126,Lai Chau,,,,,,,2017
127,Ha Noi,622,"5,041.05",167,775.13,803,"1,703.13",2018
128,TP. Ho Chi Minh,1029,784.81,254,170.72,"3,710","4,993.11",2018
129,Hai Phong,111,723.84,50,"1,829.64",57,540.01,2018
130,Binh Duong,215,"1,216.58",135,548.37,492,562.2,2018
131,Ba Ria - Vung Tau,45,"1,803.51",25,148.43,60,162.74,2018
132,Dong Nai,125,988.99,21,63.21,211,403.37,2018
133,Thua Thien Hue,8,27.69,5,"1,140.00",16,104.69,2018
134,Bac Ninh,173,394.69,116,677.55,156,51.75,2018
135,Tay Ninh,30,453.32,27,317.53,43,65.97,2018
136,Long An,86,275.1,88,220.07,166,193.11,2018
137,Hai Duong,44,235.98,28,299.18,50,61.85,2018
138,Bac Giang,67,183.78,36,318.89,44,40.32,2018
139,Binh Phuoc,29,348.65,20,96.98,32,35.05,2018
140,Hung Yen,29,127.54,47,277.84,55,73.04,2018
141,Quang Nam,29,322.86,5,107.98,24,31.1,2018
142,Thai Nguyen,14,387.09,16,33.88,22,24.51,2018
143,Ha Nam,42,329.87,32,91.67,21,15.21,2018
144,Ninh Thuan,8,387.53,,,5,14.12,2018
145,Quang Ninh,7,385.74,,,12,12.41,2018
146,Ben Tre,4,382.81,5,-4.31,12,16.46,2018
147,Vinh Phuc,59,268.45,5,87.2,61,29.54,2018
148,Bac Lieu,1,365.76,1,1.96,1,0.35,2018
149,Quang Ngai,14,356.34,1,10,1,0.05,2018
150,Thanh Hoa,16,52.42,2,14.3,21,297.96,2018
151,Kien Giang,4,353.59,1,-0.22,2,0.52,2018
152,Da Nang,102,267.96,9,1.1,180,42.74,2018
153,Nam Dinh,15,137.48,9,34.2,13,107.11,2018
154,Tien Giang,10,103.16,14,106.18,9,37.62,2018
155,Hoa Binh,2,200.09,2,12,8,3.07,2018
156,Ninh Binh,12,115.08,6,51.55,8,40.56,2018
157,Vinh Long,11,159,5,11.04,2,0.72,2018
158,Phu Tho,13,96.12,10,60.33,14,8.89,2018
159,Binh Dinh,9,142.02,2,0.31,11,14.91,2018
160,Tra Vinh,2,150.16,,,5,0.67,2018
161,Ha Tinh,8,98.26,,,13,34.5,2018
162,Khanh Hoa,7,8.2,5,4.65,43,78.05,2018
163,Soc Trang,3,89.76,,,,,2018
164,Thai Binh,6,31.31,7,10.24,10,14.52,2018
165,Dak Nong,1,48.75,,,,,2018
166,Ca Mau,2,37.14,,,1,0.51,2018
167,Can Tho,6,4.74,1,30.61,14,2.1,2018
168,Quang Binh,2,13.07,2,18.5,3,0.13,2018
169,Dak Lak,2,2.02,1,2.47,2,25.01,2018
170,Tuyen Quang,1,21.37,1,3.63,5,1.59,2018
171,Nghe An,5,24.68,,,3,1,2018
172,Binh Thuan,,,1,0.41,7,18.71,2018
173,Phu Yen,5,13.85,1,0.17,3,1.62,2018
174,Lang Son,1,0.9,1,10,6,3,2018
175,Kon Tum,1,2,1,9,,,2018
176,Lam Dong,2,5.4,2,0.37,34,4.65,2018
177,Yen Bai,1,1,,,9,7.24,2018
178,Dong Thap,1,1,,,4,6.35,2018
179,Hau Giang,1,2.9,1,3,,,2018
180,An Giang,2,0.32,,,4,1.89,2018
181,Son La,,,1,0.9,2,1.2,2018
182,Lao Cai,,,,,2,0.84,2018
183,Quang Tri,,,,,1,0.71,2018
184,Ha Giang,2,0.44,,,2,0.2,2018
185,Bac Kan,,,,,1,0.06,2018
186,Cao Bang,,,,,,,2018
187,Dien Bien,,,,,,,2018
188,Lai Chau,,,,,,,2018
189,Gia Lai,,,,,,,2018
190,Ha Noi,879,"1,382.06",196,600.04,"1,351","6,472.60",2019
191,TP. Ho Chi Minh,1320,"1,841.35",309,858.74,"5,720","5,595.33",2019
192,Binh Duong,243,"1,546.59",150,951.39,626,914.83,2019
193,Dong Nai,121,"1,296.70",63,-162.86,275,"1,009.55",2019
194,Bac Ninh,247,833.87,162,663.35,263,85.38,2019
195,Hai Phong,87,595.13,55,686.48,109,101.93,2019
196,Tay Ninh,35,860.2,34,329.29,39,63.99,2019
197,Bac Giang,76,787.73,35,287.59,54,26.74,2019
198,Ba Ria - Vung Tau,49,621.27,26,397.14,45,66.95,2019
199,Ha Nam,61,720.38,44,108.43,30,14.35,2019
200,Long An,146,290.91,99,246.91,203,259.94,2019
201,Hai Duong,67,463.7,16,153.34,84,66.92,2019
202,Thai Nguyen,18,361.84,19,223.89,19,20.56,2019
203,Vinh Phuc,60,527.75,5,8.3,69,45.03,2019
204,Da Nang,131,386.38,14,3.2,263,124.69,2019
205,Hung Yen,44,468.85,44,-53.32,69,44.66,2019
206,Binh Phuoc,41,296.56,25,105.3,41,47.12,2019
207,Tien Giang,4,349.77,8,37.5,10,8.06,2019
208,Thanh Hoa,25,311.03,4,24.07,22,14.9,2019
209,Phu Tho,33,142.13,12,190.31,15,16,2019
210,Thua Thien Hue,12,293.41,5,27.3,19,2.56,2019
211,Nghe An,11,312.58,,,10,2.47,2019
212,Quang Ninh,16,171,1,13.5,27,57.61,2019
213,Phu Yen,1,216.75,1,-0.25,2,0.06,2019
214,Khanh Hoa,8,109.71,1,0.6,128,89.17,2019
215,Quang Nam,26,158.42,10,-9.25,34,31.52,2019
216,Binh Thuan,8,155.85,2,2.1,28,22.22,2019
217,Vinh Long,18,131.57,3,6.7,9,12.22,2019
218,Ninh Binh,7,120.01,3,23.04,10,4.92,2019
219,Quang Ngai,4,49.5,5,63.4,2,21.87,2019
220,Ninh Thuan,3,114.63,,,10,15.55,2019
221,Bac Lieu,2,113.47,,,2,0.68,2019
222,Soc Trang,5,112.05,,,2,0.28,2019
223,Tra Vinh,4,99.47,,,7,11.02,2019
224,Binh Dinh,6,80.56,3,-14.49,14,24.58,2019
225,Ca Mau,2,79.5,,,2,0.71,2019
226,Hau Giang,2,69.7,,,3,1.34,2019
227,Can Tho,7,42.73,3,0.24,18,25.82,2019
228,Thai Binh,7,28.54,5,28.27,13,9.52,2019
229,An Giang,2,57.92,1,1.6,9,5.86,2019
230,Nam Dinh,9,21.77,5,5.54,19,37.42,2019
231,Ben Tre,3,16.5,2,4,10,39.24,2019
232,Ha Tinh,7,14.31,,,22,18.33,2019
233,Lam Dong,3,9.06,3,1.37,69,14.06,2019
234,Kien Giang,5,8.94,1,8.67,20,3.06,2019
235,Quang Tri,1,20,,,,,2019
236,Tuyen Quang,6,13.9,,,4,2.7,2019
237,Dong Thap,2,11.51,,,4,1.52,2019
238,Yen Bai,3,4.43,1,1.11,7,1.76,2019
239,Kon Tum,1,0.78,,,2,4.85,2019
240,Bac Kan,1,4.32,,,1,0.06,2019
241,Dak Lak,,,,,2,2.56,2019
242,Lang Son,,,,,4,1.39,2019
243,Dien Bien,,,,,1,1.22,2019
244,Lao Cai,1,0.87,,,2,0.08,2019
245,Quang Binh,,,,,5,0.78,2019
246,Ha Giang,,,,,1,0.5,2019
247,Son La,,,,,2,0.38,2019
248,Dak Nong,,,,,1,0.14,2019
249,Cao Bang,,,,,2,0.07,2019
250,Lai Chau,,,,,1,0.05,2019
251,Hoa Binh,3,17.66,6,-20.5,7,1.8,2019
252,Gia Lai,,,,,,,2019
253,TP. Ho Chi Minh,950,637.68,250,540.87,"3,640","3,177.38",2020
254,Bac Lieu,1,"4,000.00", -   , -   , -   , -   ,2020
255,Ha Noi,496,711.81,158,"1,261.91",751,"1,611.82",2020
256,Ba Ria - Vung Tau,31,302.36,8,"1,489.66",37,381.78,2020
257,Binh Duong,133,783.9,92,317.64,395,782.12,2020
258,Hai Phong,79,"1,064.13",28,376.67,72,69.76,2020
259,Dong Nai,69,405.04,38,160.49,142,362.83,2020
260,Bac Ninh,153,429.97,99,381.87,162,89.35,2020
261,Bac Giang,35,395.3,55,432.49,39,66.9,2020
262,Long An,113,326.24,102,305.11,132,178.94,2020
263,Ha Nam,33,574.26,33,145.26,28,10.24,2020
264,Ben Tre,8,541.12,2,5.62,7,21.96,2020
265,Tay Ninh,15,388.16,29,121.91,34,38,2020
266,Vinh Phuc,28,497.5,13,20.49,32,22.72,2020
267,Hai Duong,32,164.42,46,322.8,42,33.06,2020
268,Quang Ninh,16,465.99,2,14.88,16,24.79,2020
269,Hung Yen,22,241.74,34,203.03,40,43.01,2020
270,Thai Nguyen,20,373.92,12,24.3,16,2.54,2020
271,Binh Phuoc,48,322.38,18,26.15,18,20.57,2020
272,Thanh Hoa,14,240.3,7,100.95,22,8.29,2020
273,Phu Tho,19,221.55,17,59.64,10,9.56,2020
274,Quang Binh,3,295.11,1,-10.97,2,0.12,2020
275,Vinh Long,6,104.42,9,52.52,1,82.84,2020
276,Da Nang,83,128.86,20,80.06,105,8.63,2020
277,Nghe An,10,164.7, -   , -   ,6,4.75,2020
278,Tien Giang,9,108.19,11,55.28,6,3.69,2020
279,Dak Nong,4,149.62, -   , -   ,1,0.14,2020
280,Quang Ngai,3,64.03,7,63.3,3,4.25,2020
281,Tra Vinh,3,2.79,4,31.63,15,83.07,2020
282,Ninh Binh,7,29.61,2,42,5,44.13,2020
283,Binh Thuan,6,77.77,3,1.19,27,21.49,2020
284,Nam Dinh,16,50.94,8,20.22,19,26.75,2020
285,Thai Binh,11,82.81,1,0.3,9,7.78,2020
286,Khanh Hoa,5,30.26,2,13.45,116,32.86,2020
287,Soc Trang,2,70.39,5,-18.76,1,0.52,2020
288,Binh Dinh,4,10.93,3,4.85,15,29.21,2020
289,Can Tho,5,31.72,1,0.47,11,11.43,2020
290,Thua Thien Hue,6,18.42, -   , -   ,23,23.77,2020
291,Ca Mau,1,40.77, -   , -   ,1,0.04,2020
292,Hoa Binh,2,3.58,3,8.86,9,11.84,2020
293,Quang Tri, -   , -   ,1,10.1,5,10.07,2020
294,Lam Dong,3,10, -   , -   ,41,8.34,2020
295,Dong Thap, -   , -   ,1,1.73,6,14.48,2020
296,Ha Tinh,2,10.28, -   , -   ,8,5.29,2020
297,Kien Giang,1,5, -   , -   ,19,9.32,2020
298,Tuyen Quang,1,12, -   , -   ,4,2.3,2020
299,Gia Lai,1,7,1,0.43,2,0.86,2020
300,Yen Bai,1,2.02,1,0.68,10,5.58,2020
301,Lao Cai,1,2.26, -   , -   ,1,5.4,2020
302,An Giang,1,1.83,1,1.5,1,2.36,2020
303,Hau Giang,1,5, -   , -   ,1,0.08,2020
304,Dak Lak,1,4.05, -   , -   , -   , -   ,2020
305,Son La, -   , -   , -   , -   ,1,0.88,2020
306,Phu Yen,1,0.22, -   , -   ,3,0.2,2020
307,Kon Tum, -   , -   , -   , -   ,3,0.31,2020
308,Dien Bien, -   , -   , -   , -   ,1,0.12,2020
309,Cao Bang, -   , -   , -   , -   ,1,0.08,2020
310,Quang Nam,8,34.1,10,-97.56,15,27.36,2020
311,Ninh Thuan, -   , -   ,2,-158.51,9,23.22,2020
312,Bac Kan,,,,,,,2020
313,Ha Giang,,,,,,,2020
314,Lai Chau,,,,,,,2020
315,Lao Cai,,,,,,,2020
316,Hai Phong,48,317.08,65,"2,727.59",35,"2,217.58",2021
317,Long An,54,"3,518.84",65,255.24,43,68.89,2021
318,TP. Ho Chi Minh,633,686.63,178,"1,124.28","2,289","1,927.21",2021
319,Binh Duong,75,629.56,26,669.52,202,834.05,2021
320,Bac Ninh,126,"1,170.51",96,320.56,113,171.71,2021
321,Ha Noi,362,237.55,146,838.77,462,448.14,2021
322,Dong Nai,51,295.44,49,466.97,87,597.27,2021
323,Can Tho,5,"1,316.82",1,9,7,1.46,2021
324,Bac Giang,21,621.84,45,652.71,40,39.6,2021
325,Quang Ninh,10,"1,011.55",4,113.95,11,31.17,2021
326,Tay Ninh,16,247.9,26,573.89,8,1.69,2021
327,Vinh Phuc,27,703.14,8,33.21,13,7.68,2021
328,Hung Yen,28,393.8,38,272.59,34,45.74,2021
329,Phu Tho,15,434.24,16,133.55,7,9.6,2021
330,Thai Binh,6,459.85,1,1.44,3,1.35,2021
331,Dak Lak,8,454.88, -   , -   ,2,0.22,2021
332,Binh Phuoc,49,327.52,32,109.37,13,13.48,2021
333,Ba Ria - Vung Tau,21,345.08,10,10.42,23,42.66,2021
334,Hai Duong,17,110.25,43,195.05,50,26.31,2021
335,Nghe An,9,283.18,6,34.67,3,0.66,2021
336,Ha Nam,20,237.25,28,68.64,3,1.99,2021
337,Thai Nguyen,15,111.34,15,104.63,8,4.33,2021
338,Thanh Hoa,11,137.44,8,42.43,7,12.96,2021
339,Thua Thien Hue,3,165.56,2,16.3,11,1.62,2021
340,Da Nang,40,150,19,10.61,51,11.73,2021
341,Ninh Binh,7,83.76,2,22,11,51.08,2021
342,Hau Giang,6,145.54,2,8,3,0.5,2021
343,Kon Tum,1,152.87, -   , -   ,1,0.53,2021
344,Nam Dinh,3,3.6,15,55.77,7,89.71,2021
345,Tien Giang,2,2.06,4,134.4,3,1.47,2021
346,Binh Dinh,4,80.34,3,12.4,12,21.15,2021
347,Quang Tri,2,91.76, -   , -   ,2,11.03,2021
348,Ninh Thuan,1,4, -   , -   ,12,74.76,2021
349,Quang Binh,1,54.6, -   , -   ,3,1.48,2021
350,Yen Bai,7,48.5, -   , -   ,7,6.77,2021
351,Vinh Long,6,13.74,6,33.69,3,2.88,2021
352,Dong Thap,4,42.76, -   , -   ,4,4.95,2021
353,Quang Ngai,2,24.95,2,17.06, -   , -   ,2021
354,Quang Nam,7,15.21,6,13.09,40,11.66,2021
355,Khanh Hoa,1,6.75,5,25.14,63,5.89,2021
356,Ca Mau,1,4.31,1,0.88,2,30.15,2021
357,Binh Thuan,2,12.35, -   , -   ,10,2.1,2021
358,Lam Dong,1,2,2,3.37,31,7.22,2021
359,Tra Vinh,1,0.25,2,8.71,4,3.09,2021
360,An Giang,1,11, -   , -   ,3,0.94,2021
361,Ha Tinh, -   , -   , -   , -   ,13,11.75,2021
362,Lao Cai,1,3.93, -   , -   ,1,7.57,2021
363,Dak Nong,1,7.65, -   , -   , -   , -   ,2021
364,Kien Giang, -   , -   , -   , -   ,22,6.39,2021
365,Lang Son, -   , -   , -   , -   ,1,6,2021
366,Gia Lai, -   , -   ,1,1.2,1,0.41,2021
367,Phu Yen,1,1.11, -   , -   , -   , -   ,2021
368,Cao Bang, -   , -   , -   , -   ,1,0.86,2021
369,Lai Chau,,,,,2,0.55,2021
370,Soc Trang, -   , -   ,1,0.5, -   , -   ,2021
371,Bac Lieu,1,0, -   , -   ,1,0.2,2021
372,Hoa Binh, -   , -   , -   , -   ,2,0.12,2021
373,Tuyen Quang,1,2,1,-15.07,1,0.37,2021
374,Ben Tre,3,63.13,5,-91.76,6,12.53,2021
375,Bac Kan,,,,,,,2021
376,Dien Bien,,,,,,,2021
377,Ha Giang,,,,,,,2021
378,Son La,,,,,,,2021
379,TP. Ho Chi Minh,893,601.07,192,"1,600.72","2,411","1,738.61",2022
380,Binh Duong,68,"1,909.08",26,37.11,186,"1,196.48",2022
381,Quang Ninh,9,"2,181.17", -   , -   ,6,186.99,2022
382,Bac Ninh,147,503.09,123,"1,685.63",60,55.19,2022
383,Hai Phong,91,"1,139.00",41,792.74,26,31.48,2022
384,Ha Noi,365,233.27,206,842.53,387,630.03,2022
385,Thai Nguyen,5,323,11,"1,212.16",7,10.47,2022
386,Dong Nai,51,485.19,90,593.54,66,173.37,2022
387,Bac Giang,36,438.96,45,678.16,30,97.5,2022
388,Ba Ria - Vung Tau,17,282.13,7,50.22,22,621.87,2022
389,Nghe An,19,490.51,2,400,2,0.17,2022
390,Long An,61,468.89,83,315.15,58,62.34,2022
391,Hung Yen,21,316.77,58,387.35,19,41.99,2022
392,Phu Tho,8,406.87,20,288.59,3,5.21,2022
393,Tay Ninh,18,537.8,19,155.03,7,5.49,2022
394,Ha Nam,19,176.86,38,350.59,3,0.76,2022
395,Hai Duong,17,59.44,33,306.01,21,5.16,2022
396,Thai Binh,8,219.82,5,86.29,2,1.75,2022
397,Ha Tinh,1,275, -   , -   ,2,1.13,2022
398,Vinh Phuc,28,225.47,3,18.44,4,0.61,2022
399,Binh Phuoc,33,121.03,21,93.19,4,11.67,2022
400,Tien Giang,9,40.68,4,181.05,1,0.04,2022
401,Thua Thien Hue,6,197.31,2,0.02,2,0.17,2022
402,Can Tho,6,174.23,2,2.34,9,9.39,2022
403,Vinh Long,4,102.24,12,53.59,1,0.13,2022
404,Da Nang,47,69.88,35,5.79,49,58.33,2022
405,Soc Trang,2,110.03,1,1.8,1,4.54,2022
406,Thanh Hoa,7,69.33,5,27.4,4,0.78,2022
407,Ninh Thuan,1,6, -   , -   ,12,81.56,2022
408,Quang Ngai,4,73.42,2,13.5,1,0,2022
409,Quang Nam,5,68.24,3,1.7,19,9.3,2022
410,Ninh Binh,5,16.51,1,2.02,5,48.84,2022
411,Nam Dinh,7,43.02,4,2.95,6,11.62,2022
412,Binh Dinh,2,4.32,2,15.15,6,14.74,2022
413,Binh Thuan,2,16.06,1,0.21,5,8.51,2022
414,An Giang,2,23,1,1.5,2,0.14,2022
415,Dak Lak,2,5.65,2,3.94,2,1.24,2022
416,Yen Bai,3,6.61, -   , -   ,6,3.1,2022
417,Khanh Hoa,1,0.77, -   , -   ,55,7.92,2022
418,Kien Giang,1,2, -   , -   ,11,2.67,2022
419,Tra Vinh,1,3,1,0.03, -   , -   ,2022
420,Ben Tre,1,1.08,1,-0.45,3,2.23,2022
421,Phu Yen, -   , -   , -   , -   ,2,1.83,2022
422,Lang Son,,, -   , -   ,1,1.72,2022
423,Hoa Binh, -   , -   , -   , -   ,3,1.44,2022
424,Tuyen Quang, -   , -   , -   , -   ,4,0.86,2022
425,Dak Nong, -   , -   ,1,0.49,1,0.13,2022
426,Kon Tum, -   , -   , -   , -   ,3,0.57,2022
427,Quang Tri, -   , -   , -   , -   ,3,0.47,2022
428,Hau Giang,1,0.01, -   , -   ,3,0.28,2022
429,Ca Mau, -   , -   , -   , -   ,2,0.14,2022
430,Gia Lai, -   , -   , -   , -   ,1,0.11,2022
431,Lam Dong,1,0.04,3,-9.38,17,3.02,2022
432,Bac Lieu,1,18.35,1,-79.3, -   , -   ,2022
433,Bac Kan,,,,,,,2022
434,Cao Bang,,,,,,,2022
435,Dien Bien,,,,,,,2022
436,Dong Thap,,,,,,,2022
437,Ha Giang,,,,,,,2022
438,Lai Chau,,,,,,,2022
439,Lao Cai,,,,,,,2022
440,Quang Binh,,,,,,,2022
441,Son La,,,,,,,2022
